what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1274847449021
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1274847449021
os,sysinfo,,,"win32",1274847449021
arch,sysinfo,,,"x86",1274847449021
ws,sysinfo,,,"win32",1274847449021
locale,sysinfo,,,"ru_RU",1274847449021
processors,sysinfo,,,"2",1274847449021
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1274847449021
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1274847449021
java.specification.name,sysinfo,,,"Java Platform API Specification",1274847449021
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274847449021
java.specification.version,sysinfo,,,"1.6",1274847449021
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1274847449021
java.version,sysinfo,,,"1.6.0_17",1274847449021
java.vm.info,sysinfo,,,"mixed mode, sharing",1274847449021
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1274847449021
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1274847449021
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274847449021
java.vm.specification.version,sysinfo,,,"1.0",1274847449021
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1274847449021
java.vm.version,sysinfo,,,"14.3-b01",1274847449021
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274847455099
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274847512865
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1274847512865
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1274847512865
