what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1274847331086
started,bundle,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui",1274847331086
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1274847331086
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1274847331086
started,bundle,org.eclipse.ui.intro,3.3.1.v20090805_35x,"org.eclipse.ui.intro",1274847331086
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1274847331086
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1274847331086
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1274847331086
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1274847331086
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1274847331086
os,sysinfo,,,"win32",1274847331086
arch,sysinfo,,,"x86",1274847331086
ws,sysinfo,,,"win32",1274847331086
locale,sysinfo,,,"ru_RU",1274847331086
processors,sysinfo,,,"2",1274847331086
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1274847331086
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1274847331086
java.specification.name,sysinfo,,,"Java Platform API Specification",1274847331086
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274847331086
java.specification.version,sysinfo,,,"1.6",1274847331086
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1274847331086
java.version,sysinfo,,,"1.6.0_17",1274847331086
java.vm.info,sysinfo,,,"mixed mode, sharing",1274847331086
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1274847331086
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1274847331086
